"Kod";"Nazwa";"Pojazdy";"Rodzaje paliwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"benzyna";"2015";907922;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"benzyna";"2016";941758;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"benzyna";"2017";985493;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"benzyna";"2018";1006402;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"benzyna";"2019";1042120;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"olej napędowy";"2015";515935;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"olej napędowy";"2016";556711;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"olej napędowy";"2017";581498;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"olej napędowy";"2018";616635;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"olej napędowy";"2019";643317;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"gaz (LPG)";"2015";235389;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"gaz (LPG)";"2016";243007;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"gaz (LPG)";"2017";239006;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"gaz (LPG)";"2018";258448;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"gaz (LPG)";"2019";262657;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"pozostałe";"2015";66426;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"pozostałe";"2016";66526;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"pozostałe";"2017";73863;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"pozostałe";"2018";78002;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"pozostałe";"2019";92722;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"benzyna";"2015";49650;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"benzyna";"2016";48711;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"benzyna";"2017";48572;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"benzyna";"2018";47262;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"benzyna";"2019";46773;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"olej napędowy";"2015";188868;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"olej napędowy";"2016";197586;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"olej napędowy";"2017";188883;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"olej napędowy";"2018";196927;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"olej napędowy";"2019";204999;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"gaz (LPG)";"2015";15246;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"gaz (LPG)";"2016";15031;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"gaz (LPG)";"2017";14247;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"gaz (LPG)";"2018";14615;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"gaz (LPG)";"2019";14383;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"pozostałe";"2015";9389;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"pozostałe";"2016";9332;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"pozostałe";"2017";25663;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"pozostałe";"2018";26356;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody ciężarowe";"pozostałe";"2019";28285;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"benzyna";"2015";474;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"benzyna";"2016";470;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"benzyna";"2017";490;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"benzyna";"2018";487;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"benzyna";"2019";488;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"olej napędowy";"2015";10609;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"olej napędowy";"2016";11027;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"olej napędowy";"2017";9865;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"olej napędowy";"2018";10163;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"olej napędowy";"2019";10287;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"gaz (LPG)";"2015";67;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"gaz (LPG)";"2016";66;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"gaz (LPG)";"2017";65;"szt.";"";
1200000;"MAŁOPOLSKIE";"autobusy";"gaz (LPG)";"2018";65;"szt.";"";
