"Kod";"Nazwa";"Pojazdy";"Grupy wieku";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"8-9 lat";"2015";120162;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"8-9 lat";"2016";126909;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"8-9 lat";"2017";112899;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"8-9 lat";"2018";102542;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"8-9 lat";"2019";106185;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"10-11 lat";"2015";136887;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"10-11 lat";"2016";138555;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"10-11 lat";"2017";150414;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"10-11 lat";"2018";157005;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"10-11 lat";"2019";143358;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"12-15 lat";"2015";310666;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"12-15 lat";"2016";317216;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"12-15 lat";"2017";330271;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"12-15 lat";"2018";344789;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"12-15 lat";"2019";359092;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"16-20 lat";"2015";373767;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"16-20 lat";"2016";398300;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"16-20 lat";"2017";399317;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"16-20 lat";"2018";402840;"szt.";"";
1200000;"MAŁOPOLSKIE";"samochody osobowe";"16-20 lat";"2019";410659;"szt.";"";
